自治体,該当駅,2025年国勢調査人口,2020年比増減,増減率,高齢化率,高齢化率基準,備考
神奈川県,-,9193657,-43680,-0.5%,,,1920年の調査開始以来初の減少
横浜市,-,3754840,-22651,-0.6%,25.5%,2025年1月1日,1947年以来78年ぶりの減少・18区中6区増12区減
横浜市西区,横浜/平沼橋/西横浜,108115,+3000超,+3.0%,,,市内最少人口だが増加率は市内トップ
横浜市神奈川区,羽沢横浜国大,,+5213,,,,市内で最大の増加数
横浜市港北区,新横浜,363645,+5115,,,,市内最大人口・平均年齢44.44歳で市内最若
横浜市保土ケ谷区,天王町/星川/和田町/上星川/西谷,,-4207,,,,
横浜市旭区,鶴ケ峰/二俣川/希望ケ丘/南万騎が原,,-5558,,30.4%,2025年1月1日,市内3位の高齢化率
横浜市瀬谷区,三ツ境/瀬谷,121242,,,,,2026年4月住民基本台帳・高齢化率は市内上位
横浜市泉区,緑園都市/弥生台/いずみ野/いずみ中央/ゆめが丘,150796,,,,,2026年4月住民基本台帳・高齢化率は市内上位
大和市,大和/相模大塚,,+7094,+3.0%,23.9%,2025年1月1日,県内増加数2位・増加率4位
海老名市,かしわ台/さがみ野/海老名,,,+3.8%,24.6%,2025年,県内増加率1位
座間市,さがみ野,,減少,,26.3%,2025年,
藤沢市,湘南台,,+6989,,24.7-26.0%,2025年,県内増加数3位
