路線,駅名,所在地,2024年度乗降人員,2023年度乗降人員,乗降人員順位,地価_円per平米,地価_円per坪,地価前年変動率,地価基準年,地価種別,備考
本線,横浜,横浜市西区,314229,314649,1,2794875,9239256,9.84%,2025,公示地価,2022年度329228
本線,平沼橋,横浜市西区,9177,8818,26,680800,2250578,12.51%,2026,公示地価,2022年度8294
本線,西横浜,横浜市西区,14957,14409,20,309750,1023966,4.45%,2026,公示地価,西区で最も低価格の駅圏
本線,天王町,横浜市保土ケ谷区,22980,22437,15,447000,1477685,9.23%,2026,公示地価,保土ケ谷区で最高価格の駅圏
本線,星川,横浜市保土ケ谷区,30148,29506,12,290400,959999,4.52%,2024,公示地価,連続立体交差事業完了
本線,和田町,横浜市保土ケ谷区,14473,14318,22,258666,855096,,2025,公示地価,
本線,上星川,横浜市保土ケ谷区,22607,22484,16,221800,652892,2.59%,2026,公示地価,保土ケ谷区で最も低価格の駅圏
本線,西谷,横浜市保土ケ谷区,28752,27761,14,235750,779338,5.37%,2025,地価総平均,新横浜線分岐駅
本線,鶴ケ峰,横浜市旭区,55967,54493,6,230142,760802,3.92%,2026,公示地価,連続立体交差事業進行中
本線,二俣川,横浜市旭区,77768,,4,295153,975715,5.24%,2026,公示地価,いずみ野線分岐駅・駅前再開発完了
本線,希望ケ丘,横浜市旭区,31558,,11,232500,768595,4.58%,2026,公示地価,
本線,三ツ境,横浜市瀬谷区,51434,,7,209833,693663,,2025,公示地価,
本線,瀬谷,横浜市瀬谷区,37765,,8,205866,680550,3.68%,2024,公示地価,旧上瀬谷通信施設跡地開発予定
本線,大和,大和市,109219,,3,292916,968319,8.46%,2025,地価総平均,小田急江ノ島線接続
本線,相模大塚,大和市,14538,,21,159250,526446,0.30%,2022,公示地価,データが古く要再取得
本線,さがみ野,海老名市/座間市,33888,,10,167250,552892,3.81%,2024,地価総平均,
本線,かしわ台,海老名市,17548,,18,176000,581818,5.39%,2025,地価総平均,駅圏データなし・柏ケ谷地区で代替
本線,海老名,海老名市,110909,,2,264823,875449,5.25%,2025,地価総平均,小田急/JR相模線接続・ららぽーと等
いずみ野線,南万騎が原,横浜市旭区,10416,,25,251800,832396,3.31%,2025,公示地価,
いずみ野線,緑園都市,横浜市泉区,21214,,17,232000,766942,3.31%,2025,公示地価,総平均256750円/平米
いずみ野線,弥生台,横浜市泉区,14426,,23,,,,,,駅圏地価データ未取得・泉区平均229258円/平米
いずみ野線,いずみ野,横浜市泉区,12933,,24,282000,757024,3.05%,2025,公示地価,泉区で最高価格の駅圏
いずみ野線,いずみ中央,横浜市泉区,15694,,19,181000,598347,0.90%,2022,公示地価,データが古く要再取得
いずみ野線,ゆめが丘,横浜市泉区,7278,,27,270000,892561,10.25%,2025,公示地価,ゆめが丘ソラトス開業で乗降人員倍増
いずみ野線,湘南台,藤沢市,29887,,13,274307,906802,5.42%,2025,公示地価,小田急/横浜市営地下鉄接続
新横浜線,羽沢横浜国大,横浜市神奈川区,34672,,9,246000,813223,6.03%,2025,公示地価,乗降人員は通過人員を含む
新横浜線,新横浜,横浜市港北区,66402,,5,1044600,3453223,6.24%,2025,公示地価,東海道新幹線接続・総平均1373285円/平米
