物件名	区	地区名	竣工年	総戸数	ウォッチ区分	メモ
麻布台ヒルズ レジデンスA	港区	麻布台	2023	320	重点	虎ノ門5丁目にもまたがる。地区名は要確認
麻布台ヒルズ レジデンスB	港区	麻布台	2025	970	重点	高さ270m。竣工2025年10月
三田ガーデンヒルズ	港区	三田	2025	1002	重点	6棟構成。入居2026年1月下旬
パークコート赤坂檜町ザ タワー	港区	赤坂	2018	322	重点	赤坂9丁目・東京ミッドタウン隣接
パークマンション檜町公園	港区	六本木	2017	43	重点	六本木4丁目。43戸の希少物件
パークコート青山ザ タワー	港区	南青山	2018	160	重点	南青山2丁目
ザ・パークハウス グラン 南青山高樹町	港区	南青山	2017	86	通常	南青山7丁目
元麻布ヒルズ	港区	元麻布	2002	222	通常	元麻布1丁目
六本木ヒルズレジデンス	港区	六本木	2003	793	通常	六本木6丁目。A〜D棟
白金ザ・スカイ	港区	白金	2023	1247	通常	白金1丁目
ザ・パークハウス グラン 三番町26	千代田区	三番町	2014	148	重点	千鳥ヶ淵と竣工年が近く混ざりやすい
ザ・パークハウス グラン 千鳥ヶ淵	千代田区	三番町	2015	73	重点	三番町26と竣工年が近く混ざりやすい
パークコート千代田富士見ザ タワー	千代田区	富士見	2014	505	通常	富士見2丁目・飯田橋駅前再開発
ワテラスタワーレジデンス	千代田区	神田淡路町	2013	333	通常	神田淡路町2丁目
【エリア】一番町	千代田区	一番町			通常	竣工年なし＝町名全体の相場として見る
【エリア】六番町	千代田区	六番町			通常	竣工年なし＝町名全体の相場として見る
パークタワー勝どき	中央区	勝どき	2023	1121	重点	ミッド・サウスの2棟。数値はミッド
勝どきザ・タワー	中央区	勝どき	2016	1420	通常	勝どき5丁目・地上53階
HARUMI FLAG（晴海フラッグ）	中央区	晴海	2024	4145	重点	分譲4145戸。街区が多く混ざりやすい
パークタワー晴海	中央区	晴海	2019	1076	通常	晴海2丁目
ザ・パークハウス晴海タワーズ	中央区	晴海	2013	883	通常	ティアロ／クロノの2棟
【エリア】銀座	中央区	銀座			通常	竣工年なし＝町名全体の相場として見る
【エリア】日本橋	中央区	日本橋			通常	地区名の表記は要確認
